hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(128, 32, 128)",64,16,8,4,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.005,0.8,0.8,0.6,0.8,0.001,0.0001,0.0,49.41,50.55,27.09,60.92,77.68,78.84
"(64, 16, 64)",64,128,16,4,8,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",128,0.0005,0.4,1.0,0.2,1.0,0.0,1e-05,0.0,43.9,58.87,36.28,63.19,78.25,78.44
"(64, 32, 64)",256,64,32,4,64,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.2,0.2,1.0,0.2,1e-05,0.0,0.0001,41.25,62.62,42.98,67.05,80.53,80.93
"(256, 32, 256)",32,64,8,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,1.0,0.6,0.8,0.6,0.0,0.0001,0.0,43.43,61.9,38.38,64.95,79.69,80.41
"(64, 16, 64)",64,32,32,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,1.0,0.0,0.2,1.0,1e-05,0.0001,0.0,48.91,48.5,33.74,53.0,74.53,76.09
"(128, 32, 128)",64,32,16,5,32,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",128,0.005,0.2,1.0,0.4,0.2,0.0001,0.0001,0.0,44.24,59.84,35.67,64.29,79.87,80.31
"(64, 16, 64)",32,32,64,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.6,0.4,0.6,0.4,0.001,0.001,0.0001,50.19,50.56,25.82,59.3,77.24,78.5
"(64, 16, 64)",64,128,8,4,8,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.8,0.2,0.0,0.0,0.001,0.001,0.001,48.41,51.9,30.33,62.14,77.9,79.14
"(128, 16, 128)",32,64,64,4,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.8,0.6,0.6,0.2,0.001,0.001,1e-05,50.82,47.89,25.43,59.04,76.63,78.22
"(256, 32, 256)",128,32,16,4,16,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.002,0.2,1.0,0.8,0.2,0.001,0.0001,1e-05,47.87,52.42,30.2,61.4,77.55,78.4
"(64, 32, 64)",128,128,16,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.002,1.0,0.8,0.4,0.4,0.0001,1e-05,1e-05,43.31,61.89,38.86,66.91,80.09,80.65
"(128, 32, 128)",32,128,8,4,64,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,1.0,0.2,0.2,0.2,0.0,0.001,0.001,46.69,54.75,32.82,59.43,75.84,77.18
"(128, 16, 128)",32,64,64,4,8,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.001,1.0,0.4,0.0,0.4,0.0,0.0001,1e-05,45.72,58.14,34.53,61.93,78.12,79.35
"(64, 16, 64)",64,128,16,5,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.001,1.0,0.8,1.0,0.8,0.001,0.001,0.0001,43.41,61.66,36.32,65.43,79.87,80.52
"(128, 16, 128)",256,64,64,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.6,0.2,0.8,0.2,0.0001,0.0001,0.0001,43.71,61.62,39.43,64.55,79.74,80.98
"(64, 32, 64)",256,64,32,5,8,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.6,0.6,0.4,0.0,0.001,0.001,1e-05,48.95,49.83,28.18,60.39,76.11,76.84
"(256, 32, 256)",256,128,32,4,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.6,0.2,0.2,0.8,1e-05,0.0,1e-05,41.44,63.65,41.01,66.96,81.09,81.14
"(64, 16, 64)",64,16,64,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.005,0.4,1.0,0.8,0.0,0.0,0.0,0.0,45.43,57.32,33.04,63.59,79.26,79.79
"(64, 16, 64)",32,32,64,5,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.001,0.6,0.8,0.4,0.8,0.001,0.0,0.0,44.84,60.71,34.22,63.5,79.34,79.94
"(64, 16, 64)",128,128,16,4,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.002,0.2,0.2,0.4,0.0,0.0,0.0001,1e-05,42.43,60.99,42.67,67.18,80.48,80.86
"(64, 16, 64)",64,32,8,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.2,0.0,0.6,0.6,0.0,0.0001,0.0,47.75,52.03,37.59,56.15,75.62,77.07
