hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.5)",5,64,0.002,0.0005,0.001,64,5,32,"(0.2, 0.2, 0.2)",1.0,0.8,0.2,0.6,0.0,0.0001,0.001,43.01,59.52,40.79,64.38,79.82,80.51
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",3,32,0.002,0.0001,0.0001,32,5,64,"(0.2, 0.2, 0.2)",0.6,0.6,0.0,0.4,0.0001,0.001,1e-05,41.56,62.54,39.08,66.21,80.26,80.31
"(128, 32, 128)","(0.2, 0.2, 0.2, 0.2)",6,128,0.005,0.0001,0.0001,64,4,32,"(0.2, 0.2, 0.2)",1.0,0.6,0.2,0.0,1e-05,0.0001,1e-05,41.56,62.62,40.61,65.95,80.48,80.99
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",5,64,0.002,0.001,0.001,64,5,8,"(0.5, 0.5, 0.5)",1.0,0.6,1.0,0.6,1e-05,0.0001,0.0001,41.44,62.64,39.56,66.04,80.7,80.93
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.5)",5,64,0.0005,0.001,0.001,16,4,8,"(0.3, 0.3, 0.3)",0.4,0.8,0.2,0.8,0.0001,1e-05,0.0,42.24,61.85,36.94,66.21,80.92,81.43
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",6,32,0.001,0.0001,0.005,64,5,8,"(0.3, 0.3, 0.3)",0.4,0.4,0.4,0.0,0.0001,0.0001,0.0,42.74,60.37,38.86,65.78,80.13,80.7
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.5)",6,64,0.0005,0.0005,0.0001,8,5,64,"(0.5, 0.5, 0.5)",0.4,0.6,0.4,1.0,1e-05,1e-05,0.0001,42.81,60.16,37.94,66.78,79.96,80.33
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",6,64,0.001,0.0005,0.0001,32,4,64,"(0.3, 0.3, 0.3)",0.4,0.4,0.6,1.0,1e-05,0.001,0.0001,43.31,60.71,37.86,63.98,80.35,81.28
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",6,32,0.005,0.001,0.0001,16,4,32,"(0.4, 0.4, 0.4)",0.4,0.4,0.2,0.0,1e-05,0.0001,0.001,48.09,45.13,35.97,57.59,76.06,79.11
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",3,128,0.0005,0.0005,0.005,16,5,16,"(0.5, 0.5, 0.5)",1.0,1.0,0.0,0.0,0.0001,0.0,0.001,43.24,58.72,38.16,65.43,78.82,78.98
