hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(128, 16, 128)",32,16,16,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.6,1.0,0.4,0.8,0.0001,0.001,0.0001,41.66,63.38,36.59,66.35,80.31,80.42
"(64, 32, 64)",64,128,64,4,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.6,0.8,1.0,0.8,0.0,1e-05,0.0,43.39,60.72,35.75,64.55,79.43,79.96
"(64, 16, 64)",64,128,64,5,32,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.005,1.0,1.0,0.8,0.0,0.0,1e-05,1e-05,42.07,61.34,38.29,64.9,80.61,80.77
"(64, 32, 64)",64,64,8,5,32,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.6,0.2,0.2,0.6,0.0,0.0001,0.001,43.98,56.7,37.77,60.7,77.94,77.99
"(64, 32, 64)",128,128,32,5,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.001,1.0,0.8,0.6,0.6,0.0,0.0001,0.0001,44.15,58.78,34.44,62.98,80.09,80.52
"(64, 16, 64)",64,128,64,5,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.8,0.0,0.6,0.4,0.0,0.001,0.001,44.56,59.22,34.62,63.06,79.3,80.3
"(128, 32, 128)",32,16,32,4,8,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,1.0,0.0,0.0,0.2,0.0,1e-05,0.0,43.34,59.35,39.65,65.82,79.65,80.23
"(128, 32, 128)",128,16,16,5,16,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.4,0.2,0.8,0.2,1e-05,0.0001,0.001,45.52,54.74,38.51,62.58,78.99,79.85
"(256, 32, 256)",128,128,8,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,1.0,1.0,0.2,0.2,0.0001,0.0,0.0,43.97,58.32,36.02,63.41,78.82,79.66
"(64, 16, 64)",128,128,64,4,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.4,0.6,0.8,1.0,1e-05,0.0001,0.001,45.14,54.67,34.75,60.18,78.03,78.17
"(128, 32, 128)",128,64,64,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.8,1.0,0.0,0.0,0.0001,0.0001,0.0,43.92,58.0,36.72,64.46,78.56,78.99
